trait,selection temp,biorep,nutr,sampletype,traitvalue
size,22,b1,full,p,11.43
size,22,b2,full,p,10.46
size,22,b3,full,p,11.23
size,22,b4,full,p,11.33
size,22,b5,full,p,10.47
size,22,b6,full,p,10.45
size,26,b1,full,p,11.43
size,26,b2,full,p,12.35
size,26,b3,full,p,12.35
size,26,b4,full,p,11.33
size,26,b5,full,p,12.93
size,26,b6,full,p,11.35
size,32,b1,full,p,13.73
size,32,b2,full,p,12.35
size,32,b3,full,p,15.75
size,32,b4,full,p,11.86
size,32,b5,full,p,14.58
size,32,b6,full,p,16.3
size,FS,b1,full,p,11.29
size,FS,b2,full,p,12.1
size,FS,b3,full,p,11.4
size,FS,b4,full,p,11.93
size,FS,b5,full,p,11
size,FS,b6,full,p,11.03
size,22,b1,full,bf,12.24
size,22,b2,full,bf,11.35
size,22,b3,full,bf,9.89
size,22,b4,full,bf,10.3
size,22,b5,full,bf,12.46
size,22,b6,full,bf,11.23
size,26,b1,full,bf,11.4
size,26,b2,full,bf,10.4
size,26,b3,full,bf,12.35
size,26,b4,full,bf,11.06
size,26,b5,full,bf,10.4
size,26,b6,full,bf,11.35
size,32,b1,full,bf,10.73
size,32,b2,full,bf,12.26
size,32,b3,full,bf,11.35
size,32,b4,full,bf,10
size,32,b5,full,bf,12.35
size,32,b6,full,bf,12.35
size,FS,b1,full,bf,10.39
size,FS,b2,full,bf,11.35
size,FS,b3,full,bf,11.35
size,FS,b4,full,bf,10.4
size,FS,b5,full,bf,12
size,FS,b6,full,bf,10.01
size,22,b1,full,pbf,10.44
size,22,b2,full,pbf,9.56
size,22,b3,full,pbf,10.26
size,22,b4,full,pbf,10.36
size,22,b5,full,pbf,9.57
size,22,b6,full,pbf,9.55
size,26,b1,full,pbf,9.55
size,26,b2,full,pbf,10.36
size,26,b3,full,pbf,11.28
size,26,b4,full,pbf,11.54
size,26,b5,full,pbf,11.82
size,26,b6,full,pbf,10.37
size,32,b1,full,pbf,9.24
size,32,b2,full,pbf,11.28
size,32,b3,full,pbf,8.11
size,32,b4,full,pbf,10.84
size,32,b5,full,pbf,7.19
size,32,b6,full,pbf,10.3
size,FS,b1,full,pbf,10.31
size,FS,b2,full,pbf,7.19
size,FS,b3,full,pbf,10.42
size,FS,b4,full,pbf,10.9
size,FS,b5,full,pbf,10.06
size,FS,b6,full,pbf,10.08
size,22,b1,deplete,p,7.1
size,22,b2,deplete,p,7.5
size,22,b3,deplete,p,7.4
size,22,b4,deplete,p,6.13
size,22,b5,deplete,p,6.48
size,22,b6,deplete,p,7.39
size,26,b1,deplete,p,10.3
size,26,b2,deplete,p,9.46
size,26,b3,deplete,p,8.35
size,26,b4,deplete,p,7.94
size,26,b5,deplete,p,8.35
size,26,b6,deplete,p,7.29
size,32,b1,deplete,p,7.34
size,32,b2,deplete,p,6.3
size,32,b3,deplete,p,7.76
size,32,b4,deplete,p,7.61
size,32,b5,deplete,p,7.02
size,32,b6,deplete,p,7.69
size,FS,b1,deplete,p,8.02
size,FS,b2,deplete,p,8.2
size,FS,b3,deplete,p,7.2
size,FS,b4,deplete,p,7.77
size,FS,b5,deplete,p,7.01
size,FS,b6,deplete,p,7.35
size,22,b1,deplete,bf,9.2
size,22,b2,deplete,bf,10.4
size,22,b3,deplete,bf,11.03
size,22,b4,deplete,bf,11.09
size,22,b5,deplete,bf,10.51
size,22,b6,deplete,bf,9.51
size,26,b1,deplete,bf,12.35
size,26,b2,deplete,bf,11.04
size,26,b3,deplete,bf,11.87
size,26,b4,deplete,bf,10.46
size,26,b5,deplete,bf,10.63
size,26,b6,deplete,bf,10.35
size,32,b1,deplete,bf,10.1
size,32,b2,deplete,bf,12.35
size,32,b3,deplete,bf,11.36
size,32,b4,deplete,bf,10.35
size,32,b5,deplete,bf,10.36
size,32,b6,deplete,bf,10.83
size,FS,b1,deplete,bf,9.9
size,FS,b2,deplete,bf,12.3
size,FS,b3,deplete,bf,11.31
size,FS,b4,deplete,bf,11.68
size,FS,b5,deplete,bf,11.59
size,FS,b6,deplete,bf,10.19
size,22,b1,deplete,pbf,6.14
size,22,b2,deplete,pbf,8.18
